float_id,cycle_number,time,lat,lon,depth,temperature,salinity,qc_temp,qc_salin
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,75.7,9.204,34.479183,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,75.7,9.204,34.479183,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,83.7,9.167,34.472843,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,83.7,9.167,34.472843,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,83.7,9.167,34.472843,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,83.7,9.167,34.472843,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,83.7,9.167,34.472843,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,83.7,9.167,34.472843,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,91.299995,9.165,34.4729,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,91.299995,9.165,34.4729,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,91.299995,9.165,34.4729,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,91.299995,9.165,34.4729,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,91.299995,9.165,34.4729,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,91.299995,9.165,34.4729,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,99.6,9.164,34.471897,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,99.6,9.164,34.471897,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,99.6,9.164,34.471897,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,99.6,9.164,34.471897,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,99.6,9.164,34.471897,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,99.6,9.164,34.471897,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,107.299995,9.165,34.471916,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,107.299995,9.165,34.471916,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,107.299995,9.165,34.471916,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,107.299995,9.165,34.471916,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,107.299995,9.165,34.471916,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,107.299995,9.165,34.471916,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,115.7,9.165,34.4719,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,115.7,9.165,34.4719,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,115.7,9.165,34.4719,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,115.7,9.165,34.4719,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,115.7,9.165,34.4719,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,115.7,9.165,34.4719,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,123.299995,9.165,34.472805,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,123.299995,9.165,34.472805,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,123.299995,9.165,34.472805,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,123.299995,9.165,34.472805,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,123.299995,9.165,34.472805,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,123.299995,9.165,34.472805,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,131.5,9.178,34.477722,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,131.5,9.178,34.477722,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,131.5,9.178,34.477722,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,131.5,9.178,34.477722,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,131.5,9.178,34.477722,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,131.5,9.178,34.477722,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,139.4,9.205,34.48797,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,139.4,9.205,34.48797,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,139.4,9.205,34.48797,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,139.4,9.205,34.48797,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,139.4,9.205,34.48797,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,139.4,9.205,34.48797,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,147.8,9.349,34.542057,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,147.8,9.349,34.542057,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,147.8,9.349,34.542057,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,147.8,9.349,34.542057,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,147.8,9.349,34.542057,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,147.8,9.349,34.542057,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,155.5,9.496,34.60877,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,155.5,9.496,34.60877,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,155.5,9.496,34.60877,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,155.5,9.496,34.60877,b'1',b'1'
b'1900975 ',339.0,2019-01-06 19:10:56.002052864,-48.136,128.389,155.5,9.496,34.60877,b'1',b'1'
